codigo_region,region,codigo_comuna,comuna,Poblacion,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020
1,Tarapacá,1101,Iquique,223463,0,0,0,0,0,0,0,0,1,3,3,3,3,3,4,5,9,9,10,10,12,13,13,14,16,17,18,19,23,26,26,26,28,31,33,35,36,42,47,55,58,63,70,75,77,83,89,90,94,114,122,144,158,220,253,269,291,308,326,347,385,440,481,560,610,642,660,724,812
1,Tarapacá,1107,Alto Hospicio,129999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,5,5,6,7,10,11,13,14,15,15,15,16,20,25,27,30,33,37,39,44,51,55,58,67,76,77,83,116,128,133,136,152,161,169,180,188,200,214,239,276,301,349,379,399,410,450,504
1,Tarapacá,1401,Pozo Almonte,17395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,6,7,8,9,10,12,13,16,20
1,Tarapacá,1402,Camiña,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Tarapacá,1403,Colchane,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Tarapacá,1404,Huara,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,5,6,7,8,9,10,11,12,13,13,14,15,15,15,16,18
1,Tarapacá,1405,Pica,5958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,6,8,10,19,19,21,24,26,28,28,29,30,31,31,31,31,31,31,31,31,31,31,31,31,32,32,34,35,36,37,37,37,37,37,37,37,38,39,39,39,39,37
2,Antofagasta,2101,Antofagasta,425725,2,2,2,2,2,5,8,9,9,11,16,17,17,21,22,29,29,32,38,44,45,48,54,55,60,70,82,86,99,106,110,122,133,145,156,173,184,205,231,242,261,273,297,303,317,336,354,378,431,467,479,517,550,580,601,616,635,658,713,776,812,843,902,948,998,1031,1078,1104,1140
2,Antofagasta,2102,Mejillones,14776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,7,10,12,12,14,16,19,21,25,27,31,37,39,43,49,62,65,67,70,73,77,103,120,126,129,131,133,134,138,144,150,157,165,170,174,180,185,191,199,211,217,226
2,Antofagasta,2103,Sierra Gorda,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,5,6,7,8,8,9,9,10,10,11
2,Antofagasta,2104,Taltal,13657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,11,13,15,16,16,16,17,18,20,21,23
